Date,Treatment,ID,Sex,Sex_Treatment,Trapped_within,10min,20min,30min,40min,50min,60min,70min,80min,90min,100min,110min,120min,130min,,,,
9/10/22,Experimental,F1E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F2E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F3E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Experimental,F5E9_10_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/10/22,Control,F2C9_10_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/10/22,Control,M2C9_10_22,M,M_Control,10,,,,,,,,,,,,,,,,,
9/10/22,Control,M5C9_10_22,M,M_Control,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F1E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F0E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F5E9_17_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,M3E9_17_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,M5E9_17_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,F2E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,F0E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,M2E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Experimental,M0E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/20/22,Control,F3C9_20_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F3E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F0E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F5E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M2E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M0E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,M5E9_21_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/21/22,Experimental,F1E9_21_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Control,F5E9_28_22,F,F_Control,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,F3C9_28_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,M3C9_28_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/28/22,Experimental,M0C9_28_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,F1E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,F2E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,F0E9_20_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,M1E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,M2E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,M3E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,M0E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/1/22,Experimental,M5E9_20_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/5/22,Experimental,F3E10_5_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/5/22,Experimental,F0E10_5_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/5/22,Experimental,M1E10_5_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/5/22,Experimental,M3E10_5_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/5/22,Experimental,M0E10_5_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,F2E10_8_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M1E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M0E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,F9E10_8_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M6E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M7E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M9E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Experimental,M10E10_8_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/8/22,Control,M6C10_8_22,M,M_Control,10,,,,,,,,,,,,,,,,,
10/12/22,Experimental,F3E10_12_22,F,F_Experimental,10,,,,,,,,,,,,,,,,,
10/12/22,Experimental,M2E10_12_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/12/22,Experimental,M3E10_12_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/12/22,Experimental,M0E10_12_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
10/12/22,Experimental,M6E10_12_22,M,M_Experimental,10,,,,,,,,,,,,,,,,,
9/17/22,Experimental,F2E9_17_22,F,F_Experimental,20,1,,,,,,,,,,,,,,,,
9/17/22,Control,M1C9_17_22,M,M_Control,20,3,,,,,,,,,,,,,,,,
9/20/22,Experimental,F1E9_20_22,F,F_Experimental,20,3,,,,,,,,,,,,,,,,
9/20/22,Experimental,M5E9_20_22,M,M_Experimental,20,1,,,,,,,,,,,,,,,,
9/21/22,Experimental,M3E9_21_22,M,M_Experimental,20,1,,,,,,,,,,,,,,,,
9/21/22,Control,M1C9_21_22,M,M_Control,20,3,,,,,,,,,,,,,,,,
9/28/22,Experimental,F0C9_28_22,F,F_Experimental,20,1,,,,,,,,,,,,,,,,
10/5/22,Experimental,F2E10_5_22,F,F_Experimental,20,1,,,,,,,,,,,,,,,,
10/5/22,Experimental,M2E10_5_22,M,M_Experimental,20,1,,,,,,,,,,,,,,,,
10/5/22,Control,F5C10_5_22,F,F_Control,20,3,,,,,,,,,,,,,,,,
10/8/22,Experimental,F0E10_8_22,F,F_Experimental,20,1,,,,,,,,,,,,,,,,
9/17/22,Experimental,F3E9_17_22,F,F_Experimental,30,1,2,,,,,,,,,,,,,,,
10/8/22,Experimental,F7E10_8_22,F,F_Experimental,30,1,1,,,,,,,,,,,,,,,
10/12/22,Experimental,M1E10_12_22,M,M_Experimental,30,1,1,,,,,,,,,,,,,,,
10/12/22,Experimental,M10E10_12_22,M,M_Experimental,30,1,1,,,,,,,,,,,,,,,
10/5/22,Experimental,F1E10_5_22,F,F_Experimental,30,1,1,,,,,,,,,,,,,,,
9/10/22,Control,F3C9_10_22,F,F_Control,30,2,1,,,,,,,,,,,,,,,
9/10/22,Control,M1C9_10_22,M,M_Control,30,1,1,,,,,,,,,,,,,,,artificial evolution vs selection
9/20/22,Experimental,M1E9_20_22,M,M_Experimental,40,1,1,1,,,,,,,,,,,,,,
9/21/22,Experimental,M1E9_21_22,M,M_Experimental,40,1,1,1,,,,,,,,,,,,,,
9/28/22,Experimental,M1C9_28_22,M,M_Experimental,40,2,1,1,,,,,,,,,,,,,,
10/1/22,Control,M1C9_20_22,M,M_Control,40,1,1,1,,,,,,,,,,,,,,
10/12/22,Experimental,F5E10_12_22,F,F_Experimental,40,1,1,1,,,,,,,,,,,,,,
9/17/22,Control,F3C9_17_22,F,F_Control,50,1,1,1,1,,,,,,,,,,,,,
9/28/22,Control,F2E9_28_22,F,F_Control,50,1,1,4,1,,,,,,,,,,,,,
9/28/22,Experimental,F2C9_28_22,F,F_Experimental,50,1,3,1,1,,,,,,,,,,,,,
10/8/22,Experimental,F3E10_8_22,F,F_Experimental,50,1,1,1,1,,,,,,,,,,,,,
10/8/22,Experimental,F8E10_8_22,F,F_Experimental,50,4,1,1,1,,,,,,,,,,,,,
10/12/22,Experimental,F2E10_12_22,F,F_Experimental,50,1,1,2,1,,,,,,,,,,,,,
9/20/22,Experimental,F3E9_20_22,F,F_Experimental,60,1,1,1,1,1,,,,,,,,,,,,
10/1/22,Experimental,F5E9_20_22,F,F_Experimental,60,1,1,1,1,1,,,,,,,,,,,,
10/8/22,Experimental,M8E10_8_22,M,M_Experimental,60,1,1,2,1,2,,,,,,,,,,,,
10/8/22,Experimental,M2E10_8_22,M,M_Experimental,60,1,1,1,1,1,,,,,,,,,,,,
10/5/22,Experimental,F5E10_5_22,F,F_Experimental,70,1,2,1,1,1,1,,,,,,,,,,,
10/8/22,Experimental,F6E10_8_22,F,F_Experimental,70,1,1,1,1,1,1,,,,,,,,,,,
10/8/22,Experimental,F10E10_8_22,F,F_Experimental,70,1,1,2,1,3,1,,,,,,,,,,,
10/12/22,Experimental,F1E10_12_22,F,F_Experimental,70,1,1,1,1,1,1,,,,,,,,,,,
9/21/22,Experimental,F2E9_21_22,F,F_Experimental,70,2,1,1,2,1,1,,,,,,,,,,,
10/1/22,Experimental,F3E9_20_22,F,F_Experimental,80,1,1,1,1,1,1,1,,,,,,,,,,
10/1/22,Control,F0C9_20_22,F,F_Control,80,1,1,2,1,2,1,1,,,,,,,,,,
10/8/22,Experimental,F5E10_8_22,F,F_Experimental,80,1,1,2,2,1,1,1,,,,,,,,,,
10/5/22,Control,M1C10_5_22,M,M_Control,90,1,1,1,1,1,1,1,1,,,,,,,,,
10/5/22,Control,M3C10_5_22,M,M_Control,90,1,3,1,1,1,1,1,1,,,,,,,,,
10/8/22,Experimental,F1E10_8_22,F,F_Experimental,90,1,3,1,1,1,2,1,1,,,,,,,,,
10/8/22,Control,F3C10_8_22,F,F_Control,90,1,1,1,1,1,1,1,1,,,,,,,,,
9/28/22,Experimental,F1C9_28_22,F,F_Experimental,100,1,1,1,1,1,1,1,1,1,,,,,,,,
9/17/22,Experimental,M0E9_17_22,M,M_Experimental,110,1,1,1,1,1,1,1,1,1,1,,,,,,,
9/28/22,Experimental,M5C9_28_22,M,M_Experimental,110,1,1,1,1,1,2,2,2,3,3,,,,,,,
10/8/22,Experimental,M5E10_8_22,M,M_Experimental,120,1,1,1,1,2,1,1,1,1,1,1,,,,,,
10/12/22,Experimental,M8E10_12_22,M,M_Experimental,120,1,1,1,1,1,1,1,1,1,1,1,,,,,,
9/20/22,Experimental,F5E9_20_22,F,F_Experimental,130,1,3,1,1,1,1,1,1,1,1,2,1,,,,,
10/1/22,Control,F1C9_20_22,F,F_Control,130,1,1,1,1,1,1,1,1,1,1,1,1,,,,,
10/1/22,Control,M3C9_20_22,M,M_Control,130,1,1,3,1,1,1,1,1,1,1,1,1,,,,,
10/5/22,Control,M0C10_5_22,M,M_Control,130,3,3,2,2,3,1,1,4,1,2,1,1,,,,,
10/12/22,Experimental,M7E10_12_22,M,M_Experimental,130,1,1,2,2,2,2,2,2,2,1,1,1,,,,,
9/10/22,Control,F1C9_10_22,F,F_Control,,1,1,2,1,1,1,3,1,1,1,1,1,1,,,,
9/10/22,Control,F0C9_10_22,F,F_Control,,1,1,1,1,3,1,1,1,1,2,1,1,1,,,,
9/10/22,Control,F5C9_10_22,F,F_Control,,1,1,1,1,1,1,1,3,2,2,1,1,2,,,,
9/10/22,Control,M3C9_10_22,M,M_Control,,1,1,1,3,3,1,1,1,3,2,3,1,1,,,,
9/10/22,Control,M0C9_10_22,M,M_Control,,1,1,1,1,3,2,1,1,1,1,1,1,1,,,,
9/17/22,Control,F1C9_17_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,1,2,,,,
9/17/22,Control,F2C9_17_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
9/17/22,Control,F0C9_17_22,F,F_Control,,1,1,1,1,2,1,1,1,1,1,1,3,1,,,,
9/17/22,Control,F5C9_17_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
9/17/22,Control,M2C9_17_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,2,1,,,,
9/17/22,Control,M3C9_17_22,M,M_Control,,2,2,1,1,1,1,1,1,1,2,1,1,1,,,,
9/17/22,Control,M0C9_17_22,M,M_Control,,1,2,1,1,1,1,1,2,1,1,1,1,2,,,,
9/17/22,Control,M5C9_17_22,M,M_Control,,1,1,1,2,1,2,3,1,1,1,1,1,1,,,,
9/20/22,Experimental,M3E9_20_22,M,M_Experimental,,1,2,2,2,1,2,3,2,3,3,2,2,2,,,,
9/20/22,Control,F1C9_20_22,F,F_Control,,2,1,3,1,1,1,3,2,1,1,1,2,1,,,,
9/20/22,Control,F2C9_20_22,F,F_Control,,1,2,1,2,1,1,2,1,3,1,1,2,1,,,,
9/20/22,Control,F0C9_20_22,F,F_Control,,1,3,1,3,1,1,1,1,1,1,1,1,3,,,,
9/20/22,Control,F5C9_20_22,F,F_Control,,1,1,2,1,1,3,1,3,1,1,1,1,1,,,,
9/20/22,Control,M1C9_20_22,M,M_Control,,1,1,1,1,1,1,2,2,1,1,1,1,1,,,,
9/20/22,Control,M2C9_20_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,
9/20/22,Control,M3C9_20_22,M,M_Control,,1,1,1,1,1,3,1,1,3,1,2,1,1,,,,
9/20/22,Control,M0C9_20_22,M,M_Control,,1,1,2,1,1,1,1,2,2,1,1,1,1,,,,
9/20/22,Control,M5C9_20_22,M,M_Control,,2,1,1,1,1,1,2,1,1,1,1,1,2,,,,
9/21/22,Control,F1C9_21_22,F,F_Control,,1,1,2,3,3,2,3,2,1,3,1,3,3,,,,
9/21/22,Control,F2C9_21_22,F,F_Control,,3,3,3,1,1,1,3,1,3,3,2,1,1,,,,
9/21/22,Control,F3C9_21_22,F,F_Control,,1,1,2,2,3,3,1,1,1,2,2,1,2,,,,
9/21/22,Control,F0C9_21_22,F,F_Control,,1,1,3,3,3,3,1,1,1,3,3,1,1,,,,
9/21/22,Control,F5C9_21_22,F,F_Control,,1,1,1,1,2,2,1,1,1,1,1,2,1,,,,
9/21/22,Control,M2C9_21_22,M,M_Control,,1,3,1,1,1,3,1,1,1,1,1,1,1,,,,
9/21/22,Control,M3C9_21_22,M,M_Control,,1,1,1,1,2,2,1,1,1,1,1,2,1,,,,
9/21/22,Control,M0C9_21_22,M,M_Control,,1,1,2,2,1,2,3,1,3,3,1,1,1,,,,
9/21/22,Control,M5C9_21_22,M,M_Control,,1,1,1,1,1,3,1,1,1,1,3,1,1,,,,
9/28/22,Control,F1E9_28_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,3,2,,,,
9/28/22,Control,F3E9_28_22,F,F_Control,,1,1,1,4,1,1,4,1,1,3,3,1,1,,,,
9/28/22,Control,F0E9_28_22,F,F_Control,,1,1,1,1,2,1,1,1,1,2,1,1,1,,,,
9/28/22,Control,M1E9_28_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
9/28/22,Control,M2E9_28_22,M,M_Control,,1,1,1,1,1,1,1,1,2,2,2,2,2,,,,
9/28/22,Control,M3E9_28_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,3,3,3,,,,
9/28/22,Control,M0E9_28_22,M,M_Control,,1,3,1,1,3,2,1,3,3,3,3,3,1,,,,
9/28/22,Control,M5E9_28_22,M,M_Control,,1,1,1,3,1,2,1,1,1,1,3,1,1,,,,
9/28/22,Experimental,F5C9_28_22,F,F_Experimental,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/1/22,Control,F2C9_20_22,F,F_Control,,2,1,1,1,1,1,1,1,1,2,1,2,1,,,,
10/1/22,Control,F3C9_20_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/1/22,Control,F5C9_20_22,F,F_Control,,1,3,3,1,2,1,3,2,1,1,1,2,1,,,,
10/1/22,Control,M2C9_20_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,
10/1/22,Control,M0C9_20_22,M,M_Control,,1,1,1,1,1,1,1,3,1,1,1,1,3,,,,
10/1/22,Control,M5C9_20_22,M,M_Control,,1,1,1,4,3,2,2,2,2,1,2,2,2,,,,
10/5/22,Control,F1C10_5_22,F,F_Control,,2,1,1,1,1,2,2,3,1,3,1,1,1,,,,
10/5/22,Control,F2C10_5_22,F,F_Control,,1,1,1,3,1,2,1,3,1,1,1,1,1,,,,
10/5/22,Control,F3C10_5_22,F,F_Control,,1,1,3,1,3,2,1,3,1,3,1,1,1,,,,
10/5/22,Control,F0C10_5_22,F,F_Control,,1,1,1,1,1,1,1,3,1,1,1,1,1,,,,
10/5/22,Control,M2C10_5_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/5/22,Control,M5C10_5_22,M,M_Control,,1,1,1,1,1,1,1,1,3,1,1,1,2,,,,
10/5/22,Experimental,M5E10_5_22,M,M_Experimental,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Experimental,M3E10_8_22,M,M_Experimental,,3,1,1,1,1,1,2,1,1,1,1,1,2,,,,
10/8/22,Control,F1C10_8_22,F,F_Control,,1,1,3,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,F2C10_8_22,F,F_Control,,1,1,1,2,1,1,3,1,1,1,2,1,1,,,,
10/8/22,Control,F0C10_8_22,F,F_Control,,1,1,1,2,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,F5C10_8_22,F,F_Control,,2,1,2,2,2,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,M1C10_8_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,M2C10_8_22,M,M_Control,,1,1,1,1,1,2,2,2,2,2,2,2,3,,,,
10/8/22,Control,M3C10_8_22,M,M_Control,,1,1,2,1,1,2,1,1,1,3,2,1,2,,,,
10/8/22,Control,M0C10_8_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,M5C10_8_22,M,M_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,F6C10_8_22,F,F_Control,,1,1,1,1,1,1,3,1,3,1,3,1,1,,,,
10/8/22,Control,F7C10_8_22,F,F_Control,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/8/22,Control,F8C10_8_22,F,F_Control,,1,2,1,3,2,1,1,1,3,3,1,1,1,,,,
10/8/22,Control,F9C10_8_22,F,F_Control,,1,1,1,1,1,1,1,2,1,1,1,1,1,,,,
10/8/22,Control,F10C10_8_22,F,F_Control,,1,1,1,1,1,1,1,1,1,3,1,1,1,,,,
10/8/22,Control,M7C10_8_22,M,M_Control,,1,1,1,1,1,3,1,1,1,1,1,3,1,,,,
10/8/22,Control,M8C10_8_22,M,M_Control,,1,1,1,3,2,2,2,1,1,1,2,1,1,,,,
10/8/22,Control,M9C10_8_22,M,M_Control,,1,1,3,1,2,2,1,1,2,1,1,1,1,,,,
10/8/22,Control,M10C10_8_22,M,M_Control,,2,3,1,1,2,1,1,1,1,1,1,1,2,,,,
10/12/22,Experimental,M5E10_12_22,M,M_Experimental,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,
10/12/22,Experimental,M9E10_12_22,M,M_Experimental,,1,1,1,1,1,1,1,2,1,3,1,1,1,,,,
10/12/22,Experimental,F0E10_12_22,F,F_Experimental,,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,